path_A,path_B,A_model,B_model,prompt,VQ,MQ,TA,Overall,fps_A,num_frames_A,fps_B,num_frames_B
videos/CogVideoX/Cog5B_00124.mp4,videos/qingying/qingying_00124.mp4,CogVideoX,qingying,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,A,A,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00124.mp4,videos/opensora1.2/OpenSora1.2_00124.mp4,CogVideoX,opensora1.2,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00124.mp4,videos/kling/kling_00124.mp4,CogVideoX,kling,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,A,A,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00124.mp4,videos/easyanimatev4/Easyanimatev4_00124.mp4,CogVideoX,easyanimatev4,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,same,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00124.mp4,videos/vidu/vidu_00124.mp4,CogVideoX,vidu,"Overlooking the street, pedestrians walking on the road, dim lighting.",same,same,A,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00125.mp4,videos/minimax/minimax_00125.mp4,CogVideoX,minimax,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",A,A,B,A,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00125.mp4,videos/kling/kling_00125.mp4,CogVideoX,kling,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",B,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00125.mp4,videos/tongyi/tongyi_00125.mp4,CogVideoX,tongyi,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",B,B,B,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00125.mp4,videos/luma/luma_00125.mp4,CogVideoX,luma,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",A,A,B,same,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00125.mp4,videos/opensora1.2/OpenSora1.2_00125.mp4,CogVideoX,opensora1.2,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",A,A,B,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00125.mp4,videos/easyanimatev4/Easyanimatev4_00125.mp4,CogVideoX,easyanimatev4,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",A,A,B,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00125.mp4,videos/luma1.6/luma1.6_00125.mp4,CogVideoX,luma1.6,"Static camera, a model wearing a vibrant red silk dress, the dress should have a glossy appearance, and the smooth, shiny texture of the silk should be clearly visible as the model moves.",A,A,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00127.mp4,videos/opensora1.2/OpenSora1.2_00127.mp4,CogVideoX,opensora1.2,"Static camera, a model wearing a light gray cotton t-shirt. The t-shirt should be a fitted style with a round neckline and short sleeves. The fabric should show the softness and breathability of cotton, with visible stitching details.",A,A,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00127.mp4,videos/vidu/vidu_00127.mp4,CogVideoX,vidu,"Static camera, a model wearing a light gray cotton t-shirt. The t-shirt should be a fitted style with a round neckline and short sleeves. The fabric should show the softness and breathability of cotton, with visible stitching details.",A,A,B,B,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00128.mp4,videos/luma1.6/luma1.6_00128.mp4,CogVideoX,luma1.6,"The camera shots at a man's entire body, and the man raises his hands above his head.",same,same,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00128.mp4,videos/opensora1.2/OpenSora1.2_00128.mp4,CogVideoX,opensora1.2,"The camera shots at a man's entire body, and the man raises his hands above his head.",same,same,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00128.mp4,videos/gen3/gen3_00128.mp4,CogVideoX,gen3,"The camera shots at a man's entire body, and the man raises his hands above his head.",B,same,same,same,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00128.mp4,videos/tongyi/tongyi_00128.mp4,CogVideoX,tongyi,"The camera shots at a man's entire body, and the man raises his hands above his head.",B,B,same,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00128.mp4,videos/easyanimatev4/Easyanimatev4_00128.mp4,CogVideoX,easyanimatev4,"The camera shots at a man's entire body, and the man raises his hands above his head.",same,same,same,same,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00128.mp4,videos/luma/luma_00128.mp4,CogVideoX,luma,"The camera shots at a man's entire body, and the man raises his hands above his head.",same,same,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00129.mp4,videos/kling1.5/kling1.5_00129.mp4,CogVideoX,kling1.5,"The camera shots at a man's entire body, and the man turns left and walks.",B,B,same,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00129.mp4,videos/qingying/qingying_00129.mp4,CogVideoX,qingying,"The camera shots at a man's entire body, and the man turns left and walks.",same,B,same,B,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00129.mp4,videos/opensora1.2/OpenSora1.2_00129.mp4,CogVideoX,opensora1.2,"The camera shots at a man's entire body, and the man turns left and walks.",same,same,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00129.mp4,videos/minimax/minimax_00129.mp4,CogVideoX,minimax,"The camera shots at a man's entire body, and the man turns left and walks.",same,same,A,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00129.mp4,videos/vidu/vidu_00129.mp4,CogVideoX,vidu,"The camera shots at a man's entire body, and the man turns left and walks.",same,same,same,same,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00129.mp4,videos/luma1.6/luma1.6_00129.mp4,CogVideoX,luma1.6,"The camera shots at a man's entire body, and the man turns left and walks.",same,same,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00130.mp4,videos/kling/kling_00130.mp4,CogVideoX,kling,"The camera shots at a man's entire body, and the man jumps from the ground.",same,same,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00130.mp4,videos/tongyi/tongyi_00130.mp4,CogVideoX,tongyi,"The camera shots at a man's entire body, and the man jumps from the ground.",same,B,B,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00130.mp4,videos/kling1.5/kling1.5_00130.mp4,CogVideoX,kling1.5,"The camera shots at a man's entire body, and the man jumps from the ground.",same,same,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00130.mp4,videos/minimax/minimax_00130.mp4,CogVideoX,minimax,"The camera shots at a man's entire body, and the man jumps from the ground.",same,same,B,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00130.mp4,videos/luma1.6/luma1.6_00130.mp4,CogVideoX,luma1.6,"The camera shots at a man's entire body, and the man jumps from the ground.",same,same,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00130.mp4,videos/opensora1.2/OpenSora1.2_00130.mp4,CogVideoX,opensora1.2,"The camera shots at a man's entire body, and the man jumps from the ground.",same,same,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00131.mp4,videos/qingying/qingying_00131.mp4,CogVideoX,qingying,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,A,same,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00131.mp4,videos/easyanimatev4/Easyanimatev4_00131.mp4,CogVideoX,easyanimatev4,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,A,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00131.mp4,videos/gen3/gen3_00131.mp4,CogVideoX,gen3,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,same,same,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00131.mp4,videos/kling1.5/kling1.5_00131.mp4,CogVideoX,kling1.5,"Static camera, a little girl is walking on the street with a small dog on her left.",same,B,A,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00131.mp4,videos/tongyi/tongyi_00131.mp4,CogVideoX,tongyi,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,same,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00131.mp4,videos/vidu/vidu_00131.mp4,CogVideoX,vidu,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,same,same,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00131.mp4,videos/opensora1.2/OpenSora1.2_00131.mp4,CogVideoX,opensora1.2,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,A,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00131.mp4,videos/minimax/minimax_00131.mp4,CogVideoX,minimax,"Static camera, a little girl is walking on the street with a small dog on her left.",same,B,A,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00131.mp4,videos/kling/kling_00131.mp4,CogVideoX,kling,"Static camera, a little girl is walking on the street with a small dog on her left.",same,B,same,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00131.mp4,videos/luma1.6/luma1.6_00131.mp4,CogVideoX,luma1.6,"Static camera, a little girl is walking on the street with a small dog on her left.",same,same,same,same,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00132.mp4,videos/kling1.5/kling1.5_00132.mp4,CogVideoX,kling1.5,"Static camera, a little girl is walking on the street with a small dog on her right.",same,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00132.mp4,videos/tongyi/tongyi_00132.mp4,CogVideoX,tongyi,"Static camera, a little girl is walking on the street with a small dog on her right.",same,B,A,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00132.mp4,videos/luma/luma_00132.mp4,CogVideoX,luma,"Static camera, a little girl is walking on the street with a small dog on her right.",same,same,B,same,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00132.mp4,videos/qingying/qingying_00132.mp4,CogVideoX,qingying,"Static camera, a little girl is walking on the street with a small dog on her right.",same,same,B,same,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00132.mp4,videos/gen3/gen3_00132.mp4,CogVideoX,gen3,"Static camera, a little girl is walking on the street with a small dog on her right.",B,B,same,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00133.mp4,videos/tongyi/tongyi_00133.mp4,CogVideoX,tongyi,"Static camera, a little girl is walking on the street with a small dog in front of her.",same,same,same,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00133.mp4,videos/qingying/qingying_00133.mp4,CogVideoX,qingying,"Static camera, a little girl is walking on the street with a small dog in front of her.",same,same,same,same,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00133.mp4,videos/minimax/minimax_00133.mp4,CogVideoX,minimax,"Static camera, a little girl is walking on the street with a small dog in front of her.",same,same,same,same,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00134.mp4,videos/kling1.5/kling1.5_00134.mp4,CogVideoX,kling1.5,"Close up shot, a cat and a bird are looking at each other on a bench.",same,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00134.mp4,videos/tongyi/tongyi_00134.mp4,CogVideoX,tongyi,"Close up shot, a cat and a bird are looking at each other on a bench.",same,B,same,A,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00134.mp4,videos/gen3/gen3_00134.mp4,CogVideoX,gen3,"Close up shot, a cat and a bird are looking at each other on a bench.",B,B,B,B,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00134.mp4,videos/luma1.6/luma1.6_00134.mp4,CogVideoX,luma1.6,"Close up shot, a cat and a bird are looking at each other on a bench.",same,B,B,B,8.0,49.0,24.0,121.0
videos/CogVideoX/Cog5B_00134.mp4,videos/vidu/vidu_00134.mp4,CogVideoX,vidu,"Close up shot, a cat and a bird are looking at each other on a bench.",same,A,B,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00135.mp4,videos/easyanimatev4/Easyanimatev4_00135.mp4,CogVideoX,easyanimatev4,"Static camera, a crocodile is swimming and a bird is flying.",same,A,A,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00135.mp4,videos/luma/luma_00135.mp4,CogVideoX,luma,"Static camera, a crocodile is swimming and a bird is flying.",same,A,A,A,8.0,49.0,24.0,126.0
videos/CogVideoX/Cog5B_00135.mp4,videos/kling/kling_00135.mp4,CogVideoX,kling,"Static camera, a crocodile is swimming and a bird is flying.",same,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00135.mp4,videos/qingying/qingying_00135.mp4,CogVideoX,qingying,"Static camera, a crocodile is swimming and a bird is flying.",same,B,B,B,8.0,49.0,16.0,96.0
videos/CogVideoX/Cog5B_00135.mp4,videos/opensora1.2/OpenSora1.2_00135.mp4,CogVideoX,opensora1.2,"Static camera, a crocodile is swimming and a bird is flying.",same,A,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00135.mp4,videos/vidu/vidu_00135.mp4,CogVideoX,vidu,"Static camera, a crocodile is swimming and a bird is flying.",same,A,B,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00135.mp4,videos/gen3/gen3_00135.mp4,CogVideoX,gen3,"Static camera, a crocodile is swimming and a bird is flying.",same,A,same,same,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00136.mp4,videos/vidu/vidu_00136.mp4,CogVideoX,vidu,Close up shot of a table in the restaurant are filled with Western cuisine.,A,A,same,A,8.0,49.0,16.0,60.0
videos/CogVideoX/Cog5B_00136.mp4,videos/opensora1.2/OpenSora1.2_00136.mp4,CogVideoX,opensora1.2,Close up shot of a table in the restaurant are filled with Western cuisine.,A,A,same,A,8.0,49.0,24.0,102.0
videos/CogVideoX/Cog5B_00136.mp4,videos/tongyi/tongyi_00136.mp4,CogVideoX,tongyi,Close up shot of a table in the restaurant are filled with Western cuisine.,B,B,same,B,8.0,49.0,30.0,152.0
videos/CogVideoX/Cog5B_00136.mp4,videos/easyanimatev4/Easyanimatev4_00136.mp4,CogVideoX,easyanimatev4,Close up shot of a table in the restaurant are filled with Western cuisine.,A,A,B,A,8.0,49.0,24.0,144.0
videos/CogVideoX/Cog5B_00136.mp4,videos/minimax/minimax_00136.mp4,CogVideoX,minimax,Close up shot of a table in the restaurant are filled with Western cuisine.,B,B,same,B,8.0,49.0,25.0,141.0
videos/CogVideoX/Cog5B_00137.mp4,videos/kling/kling_00137.mp4,CogVideoX,kling,Close up shot of a table in the restaurant are filled with Chinese cuisine,A,B,B,B,8.0,49.0,30.0,153.0
videos/CogVideoX/Cog5B_00137.mp4,videos/gen3/gen3_00137.mp4,CogVideoX,gen3,Close up shot of a table in the restaurant are filled with Chinese cuisine,B,A,same,A,8.0,49.0,24.0,128.0
videos/CogVideoX/Cog5B_00137.mp4,videos/luma/luma_00137.mp4,CogVideoX,luma,Close up shot of a table in the restaurant are filled with Chinese cuisine,A,A,same,A,8.0,49.0,24.0,126.0
